artist,song,genre,label,language,llm_cost,llm_tokens,producers,songwriters
Daft Punk & Pharrell Williams,Get Lucky,"Disco, Funk, Pop",Columbia Records,English,0.015313000000000002,15148,Daft Punk,"Thomas Bangalter, Guy-Manuel de Homem-Christo, Pharrell Williams, Nile Rodgers"
Lewis Capaldi,Someone You Loved,"Pop, Rock",Vertigo Records,English,0.0015520000000000002,1473,"Thomas Barnes, Peter Kelleher, Benjamin Kohn","Lewis Capaldi, Samuel Romans"
Adele,Hello,"Soul, Pop",XL Recordings,English,0.001684,1610,Greg Kurstin,"Adele, Greg Kurstin"
"Benny Blanco, Halsey & Khalid",Eastside,Pop,Interscope Records,English,0.0017720000000000001,1693,Benny Blanco,"Benny Blanco, Halsey, Khalid"
Mariah Carey,All I Want For Christmas Is You,"Christmas, Pop, R&B",Columbia Records,English,0.001412,1325,"Mariah Carey, Walter Afanasieff","Mariah Carey, Walter Afanasieff"
Macklemore & Ryan Lewis,Can't Hold Us,"Hip Hop, Pop",Macklemore LLC,English,0.003594,3496,Ryan Lewis,"Benjamin Hammond Haggerty, Ryan Lewis, Ray Dalton"
Psy,Gangnam Style,K-pop,YG Entertainment,Korean,0.001752,1691,Unknown,Unknown
Rihanna,Diamonds,"Pop, Electronic, R&B",Def Jam Recordings,English,0.0016870000000000001,1615,"Benny Blanco, Stargate",Sia
Justin Bieber,What Do You Mean?,Pop,Def Jam,English,0.001247,1176,"MdL, Justin Bieber","Justin Bieber, Jason Boyd, Mason Levy"
The Lumineers,Ho Hey,"Folk Rock, Americana",Dualtone Records (Dine Alone in Canada and Decca/Universal worldwide),English,0.001363,1281,Unknown,"Wesley Schultz, Jeremiah Fraites"
Lukas Graham,Seven Years,"Soul, Pop","Copenhagen Records, Warner Bros. Records",English,0.001494,1378,"Stefan Forrest, Morten Ristorp, Morten 'Pilo' Pilegaard","Lukas Forchhammer, Stefan Forrest, Morten Ristorp, Morten 'Pilo' Pilegaard"
The Weeknd & Daft Punk,Starboy,"R&B, Electropop","XO, Republic Records",English,0.001531,1407,"The Weeknd, Daft Punk, Doc McKinney, Henry 'Cirkut' Walter, Jason 'DaHeala' Quenneville","The Weeknd, Daft Punk, Doc McKinney, Henry 'Cirkut' Walter, Jason 'DaHeala' Quenneville"
LMFAO,Sexy And I Know It,"Electro house, Dance-pop",Interscope Records,English,0.001618,1525,"Party Rock, GoonRock","Stefan Kendal Gordy, GoonRock, Erin Beck, George M. Robertson, Kenneth Oliver"
Bruno Mars,Just The Way You Are (Amazing),Pop,Atlantic Records,English,0.0014200000000000003,1334,"The Smeezingtons, Needlz","Bruno Mars, Philip Lawrence, Ari Levine, Khalil Walton, Needlz"
The Weeknd,Can't Feel My Face,"Pop, Disco, Funk",Republic Records,English,0.0017290000000000003,1638,"Max Martin, Ali Payami","Max Martin, Peter Svensson, Ali Payami, Savan Kotecha, The Weeknd"
Dua Lipa,New Rules,"Dance-pop, Electropop, Tropical house",Warner Bros. Records,English,0.0017130000000000001,1627,Ian Kirkpatrick,"Caroline Ailin, Emily Warren, Ian Kirkpatrick"
Adele,Set Fire To The Rain,Pop,XL Recordings,English,0.001745,1673,Fraser T. Smith,"Adele, Fraser T. Smith"
Pitbull & Ke$ha,Timber,"Pop, Dance-pop, Hip hop",RCA Records,English,0.0018629999999999999,1719,"Dr. Luke, Cirkut, Sermstyle, Nick Seeley","Armando C. Perez, Kesha Sebert, Lukasz Gottwald, Henry Walter, Jamie Sanderson, Priscilla Hamilton, Breyan Isaac, Keri Oskar, Lee Oskar, Greg Errico, Jim Jonsin, Danny Mercer, Aaron Davis, Pebe Sebert"
DJ Snake & Justin Bieber,Let Me Love You,"Electronic, R&B",Interscope Records,English,0.0035369999999999998,3428,"DJ Snake, Louis Bell, Andrew Watt","DJ Snake, Justin Bieber, Andrew Watt, Ali Tamposi, Brian Lee, Louis Bell"
David Guetta & Sia,Titanium,"Pop, House, Urban-Dance","Parlophone, Virgin Records",English,0.0014650000000000002,1368,"David Guetta, Giorgio Tuinfort, Afrojack","Sia, David Guetta, Giorgio Tuinfort, Afrojack"
Shawn Mendes & Camila Cabello,Senorita,"Pop, R&B","Island, Epic Records",English,0.012057000000000002,11886,"Andrew Watt, Benny Blanco, Cashmere Cat","Shawn Mendes, Camila Cabello, Charli XCX, Ali Tamposi, Jack Patterson"
"Portugal, The Man",Feel It Still,"Rock, Pop",Atlantic Records,English,0.001496,1411,"John Hill, Asa Taccone","John Baldwin Gourley, Zach Carothers, John Hill, Asa Taccone, Brian Holland"
Twenty One Pilots,Heathens,"Alternative Rock, Electropop",Atlantic Records,English,0.0016389999999999998,1565,"Tyler Joseph, Mike Elizondo",Tyler Joseph
Ellie Goulding,Love Me Like You Do,"Electropop, Power Ballad",Universal Studios,English,0.0017330000000000002,1640,"Max Martin, Ali Payami","Savan Kotecha, Ilya Salmanzadeh, Tove Lo, Max Martin, Ali Payami"
Post Malone,Wow.,"Hip Hop, Trap",Republic Records,English,0.0011099999999999999,1030,"Louis Bell, Frank Dukes","Post Malone, Billy Walsh, Anthoine Walters, Carl Rosen"
Imagine Dragons,Believer,"Pop, Rock","Interscope Records, Kidinakorner",English,0.001761,1669,Mattman & Robin,"Dan Reynolds, Wayne Sermon, Ben McKee, Daniel Platzman, Justin Tranter"
Fun. & Janelle Monae,We Are Young,"Indie Pop, Alternative Rock",Fueled by Ramen,English,0.001605,1514,"Jeff Bhasker, Emile Haynie","Nate Ruess, Andrew Dost, Jack Antonoff, Jeff Bhasker"
Mike Posner,I Took A Pill In Ibiza,"EDM, Pop",Island Records,English,0.001748,1675,"Mike Posner, SeeB",Mike Posner
Walk the Moon,Shut Up & Dance,"Pop, Rock",RCA Records,English,0.001166,1080,Unknown,"Nicholas Petricca, Kevin Ray, Sean Waugaman, Eli Maiman, Ben Berger, Ryan McMahon"
Juice WRLD,Lucid Dreams (Forget Me),"Emo rap, SoundCloud rap","Grade A Productions, Interscope Records",English,0.0016950000000000001,1608,Nick Mira,"Jarad Higgins, Danny Snodgrass, Nick Mira"
Jennifer Lopez & Pitbull,On The Floor,"Pop, Dance-pop, Techno, Latin, House",Island Records,English,0.001763,1654,RedOne,"Kinnda 'Kee' Hamid, AJ Junior, Teddy Sky, Bilal 'The Chef' Hajji, Pitbull, Gonzalo Hermosa, Ulises Hermosa"
Bruno Mars,That's What I Like,"Hip Hop Soul, New Jack Swing, R&B, Funk",Atlantic Records,English,0.001797,1682,"Shampoo Press & Curl, Stereotypes","Bruno Mars, Philip Lawrence, Christopher Brody Brown, James Fauntleroy, Johnathan Yip, Ray Romulus, Jeremy Reeves, Ray McCullough II"
Bruno Mars,Locked Out Of Heaven,"Reggae Rock, Pop Rock",Atlantic Records,English,0.0039369999999999995,3829,"The Smeezingtons, Mark Ronson, Jeff Bhasker, Emile Haynie","Bruno Mars, Philip Lawrence, Ari Levine"
Bastille,Pompeii,"Indie Pop, Synth-pop",Virgin Records,English,0.001722,1649,"Mark Crew, Dan Smith",Dan Smith
James Arthur,Say You Won't Let Go,Pop,Columbia Records,English,0.003532,3445,Unknown,"James Arthur, Neil Ormandy, Steve Solomon"
Ariana Grande,7 Rings,"Pop, R&B",Republic Records,English,0.0017280000000000002,1640,"Tommy Brown, Charles Anderson, Michael Foster","Ariana Grande, Victoria Monét, Tayla Parx, Njomza, Kaydence"
Clean Bandit & Jess Glynne,Rather Be,"Electronic, Dance",Warner Music Group,English,0.0015609999999999999,1476,"Jack Patterson, Grace Chatto","Jack Patterson, Grace Chatto, Jimmy Napes, Nicole Marshall"
Katy Perry,Roar,"Power Pop, Arena Rock",Capitol Records,English,0.001328,1248,"Dr. Luke, Max Martin, Cirkut","Katy Perry, Bonnie McKee"
Ed Sheeran & Justin Bieber,I Don't Care,"Pop, Dancehall","Asylum, Atlantic Records, Def Jam Recordings",English,0.001385,1288,"Ed Sheeran, Fred Gibson, Shellback, Max Martin","Ed Sheeran, Justin Bieber, Fred Gibson, Shellback, Max Martin"
Rihanna & Calvin Harris,This Is What You Came For,"Electropop, Dance-pop","Columbia Records, Westbury Road",English,0.001681,1599,"Calvin Harris, Kuk Harrell","Taylor Swift, Calvin Harris"
Rihanna & Drake,Work,"Dancehall, Reggae-Pop, R&B","Westbury Road, Roc Nation","Jamaican Patois, Bajan Creole",0.0018260000000000001,1698,"Matthew 'Boi-1da' Samuels, Kuk Harrell, Noah '40' Shebib","Rihanna, Drake, PartyNextDoor, Monte Moir, Rupert 'Sevn' Thomas, Allen Ritter"
Bruno Mars,Grenade,"Pop, Power Pop",Elektra Records,English,0.004003,3881,"The Smeezingtons (Bruno Mars, Phillip Lawrence, Ari Levine), additional production by Brody Brown","Bruno Mars, Phillip Lawrence, Ari Levine, Brody Brown, Claude Kelly, Andrew Wyatt"
Lorde,Royals,"Art Pop, Electropop, Hip Hop, R&B, Indie Pop",Universal Music Group,English,0.00148,1399,Joel Little,"Lorde, Joel Little"
Fetty Wap,Trap Queen,"Hip hop, R&B","300 Entertainment, Atlantic Records",English,0.0015899999999999998,1513,Tony Fadd,"Willie Maxwell II, Tony Fadd"
Bebe Rexha & Florida Georgia Line,Meant To Be,"Country, Pop",Warner Bros. Records,English,0.014662999999999999,14483,"Willshire, David Garcia","Bebe Rexha, Tyler Hubbard, Josh Miller, David Garcia"
Jonas Brothers,Sucker,Pop,Republic Records,English,0.001523,1444,"Ryan Tedder, Frank Dukes","Ryan Tedder, Louis Bell, Mustafa Ahmed, Homer Steinweiss"
Katy Perry,Firework,Dance-pop,Capitol Records,English,0.0017010000000000003,1627,"Stargate, Sandy Vee","Katy Perry, Ester Dean"
Taio Cruz,Dynamite,"Pop, Dance-pop, Electropop","Island, 4th & B'way, Mercury",English,0.00158,1477,"Benny Blanco, Dr. Luke","Taio Cruz, Max Martin, Bonnie McKee, Benny Blanco, Dr. Luke"
Rihanna & Eminem,Love The Way You Lie,"Hip-Hop, Pop",Interscope Records,English,0.0015940000000000001,1516,Alex da Kid,"Skylar Grey, Eminem, Alex da Kid"
P!nk & Nate Ruess,Just Give Me A Reason,Pop,RCA Records,English,0.010169,10043,Jeff Bhasker,"Pink, Nate Ruess, Jeff Bhasker"
Ed Sheeran,Photograph,"Pop, Acoustic",Asylum Records,English,0.0017170000000000002,1642,Jeff Bhasker,"Ed Sheeran, Johnny McDaid"
"Clean Bandit, Sean Paul & Anne-Marie",Rockabye,"Dancehall, Pop",Atlantic Records,English,0.001416,1338,"Jack Patterson, Mark Ralph","Ammar Malik, Ina Wroldsen, Steve Mac"
will.i.am & Britney Spears,Scream & Shout,"Dance Pop, Club",Interscope Records,English,0.001571,1481,"Jef Martens (Lazy Jay), will.i.am","will.i.am, Jef Martens, Tulisa, Jean Baptiste"
Maroon 5,Sugar,"Disco, Funk-Pop, Soul","Interscope Records, 222 Records",English,0.0035850000000000005,3471,"Ammo, Cirkut","Mike Posner, Adam Levine, Dr. Luke, Jacob Kasher Hindlin"
Charlie Puth,Attention,"Pop, Funk, Soft-Soul",Atlantic Records,English,0.0015580000000000001,1482,Charlie Puth,"Charlie Puth, Jacob Kasher"
5 Seconds of Summer,Youngblood,"Pop, Pop rock",Capitol Records,English,0.0017240000000000003,1635,"Andrew Watt, Louis Bell","Calum Hood, Ali Tamposi, Andrew Watt, Ashton Irwin, Luke Hemmings"
