artist,song,genre,label,language,llm_cost,llm_tokens,producers,songwriters
Lewis Capaldi,Someone You Loved,"Pop, Rock",Vertigo Records,English,0.001552,1473,"Thomas Barnes, Peter Kelleher, Benjamin Kohn","Lewis Capaldi, Samuel Romans"
Adele,Hello,"Soul, Pop",XL Recordings,English,0.001684,1610,Greg Kurstin,"Adele, Greg Kurstin"
"Benny Blanco, Halsey & Khalid",Eastside,Pop,Interscope Records,English,0.001772,1693,Benny Blanco,"Benny Blanco, Halsey, Khalid"
Mariah Carey,All I Want For Christmas Is You,"Christmas, Pop, R&B",Columbia Records,English,0.001412,1325,"Mariah Carey, Walter Afanasieff","Mariah Carey, Walter Afanasieff"
Macklemore & Ryan Lewis,Can't Hold Us,"Hip Hop, Pop",Macklemore LLC,English,0.003594,3496,Ryan Lewis,"Benjamin Hammond Haggerty, Ryan Lewis, Ray Dalton"
Psy,Gangnam Style,K-pop,YG Entertainment,Korean,0.001752,1691,Unknown,Unknown
Rihanna,Diamonds,"Pop, Electronic, R&B",Def Jam Recordings,English,0.001687,1615,"Benny Blanco, Stargate",Sia
Justin Bieber,What Do You Mean?,Pop,Def Jam,English,0.001247,1176,"MdL, Justin Bieber","Justin Bieber, Jason Boyd, Mason Levy"
The Lumineers,Ho Hey,"Folk Rock, Americana",Dualtone Records (Dine Alone in Canada and Decca/Universal worldwide),English,0.001363,1281,Unknown,"Wesley Schultz, Jeremiah Fraites"
Lukas Graham,Seven Years,"Soul, Pop","Copenhagen Records, Warner Bros. Records",English,0.001494,1378,"Stefan Forrest, Morten Ristorp, Morten 'Pilo' Pilegaard","Lukas Forchhammer, Stefan Forrest, Morten Ristorp, Morten 'Pilo' Pilegaard"
The Weeknd & Daft Punk,Starboy,"R&B, Electropop","XO, Republic Records",English,0.001531,1407,"The Weeknd, Daft Punk, Doc McKinney, Henry 'Cirkut' Walter, Jason 'DaHeala' Quenneville","The Weeknd, Daft Punk, Doc McKinney, Henry 'Cirkut' Walter, Jason 'DaHeala' Quenneville"
LMFAO,Sexy And I Know It,"Electro house, Dance-pop",Interscope Records,English,0.001618,1525,"Party Rock, GoonRock","Stefan Kendal Gordy, GoonRock, Erin Beck, George M. Robertson, Kenneth Oliver"
Bruno Mars,Just The Way You Are (Amazing),Pop,Atlantic Records,English,0.00142,1334,"The Smeezingtons, Needlz","Bruno Mars, Philip Lawrence, Ari Levine, Khalil Walton, Needlz"
The Weeknd,Can't Feel My Face,"Pop, Disco, Funk",Republic Records,English,0.001729,1638,"Max Martin, Ali Payami","Max Martin, Peter Svensson, Ali Payami, Savan Kotecha, The Weeknd"
Dua Lipa,New Rules,"Dance-pop, Electropop, Tropical house",Warner Bros. Records,English,0.001713,1627,Ian Kirkpatrick,"Caroline Ailin, Emily Warren, Ian Kirkpatrick"
Adele,Set Fire To The Rain,Pop,XL Recordings,English,0.001745,1673,Fraser T. Smith,"Adele, Fraser T. Smith"
Pitbull & Ke$ha,Timber,"Pop, Dance-pop, Hip hop",RCA Records,English,0.001863,1719,"Dr. Luke, Cirkut, Sermstyle, Nick Seeley","Armando C. Perez, Kesha Sebert, Lukasz Gottwald, Henry Walter, Jamie Sanderson, Priscilla Hamilton, Breyan Isaac, Keri Oskar, Lee Oskar, Greg Errico, Jim Jonsin, Danny Mercer, Aaron Davis, Pebe Sebert"
DJ Snake & Justin Bieber,Let Me Love You,"Electronic, R&B",Interscope Records,English,0.003537,3428,"DJ Snake, Louis Bell, Andrew Watt","DJ Snake, Justin Bieber, Andrew Watt, Ali Tamposi, Brian Lee, Louis Bell"
David Guetta & Sia,Titanium,"Pop, House, Urban-Dance","Parlophone, Virgin Records",English,0.001465,1368,"David Guetta, Giorgio Tuinfort, Afrojack","Sia, David Guetta, Giorgio Tuinfort, Afrojack"
Shawn Mendes & Camila Cabello,Senorita,"Pop, R&B","Island, Epic Records",English,0.012057000000000002,11886,"Andrew Watt, Benny Blanco, Cashmere Cat","Shawn Mendes, Camila Cabello, Charli XCX, Ali Tamposi, Jack Patterson"
"Portugal, The Man",Feel It Still,"Rock, Pop",Atlantic Records,English,0.001496,1411,"John Hill, Asa Taccone","John Baldwin Gourley, Zach Carothers, John Hill, Asa Taccone, Brian Holland"
Twenty One Pilots,Heathens,"Alternative Rock, Electropop",Atlantic Records,English,0.001639,1565,"Tyler Joseph, Mike Elizondo",Tyler Joseph
Ellie Goulding,Love Me Like You Do,"Electropop, Power Ballad",Universal Studios,English,0.001733,1640,"Max Martin, Ali Payami","Savan Kotecha, Ilya Salmanzadeh, Tove Lo, Max Martin, Ali Payami"
Post Malone,Wow.,"Hip Hop, Trap",Republic Records,English,0.00111,1030,"Louis Bell, Frank Dukes","Post Malone, Billy Walsh, Anthoine Walters, Carl Rosen"
Imagine Dragons,Believer,"Pop, Rock","Interscope Records, Kidinakorner",English,0.001761,1669,Mattman & Robin,"Dan Reynolds, Wayne Sermon, Ben McKee, Daniel Platzman, Justin Tranter"
Fun. & Janelle Monae,We Are Young,"Indie Pop, Alternative Rock",Fueled by Ramen,English,0.001605,1514,"Jeff Bhasker, Emile Haynie","Nate Ruess, Andrew Dost, Jack Antonoff, Jeff Bhasker"
Mike Posner,I Took A Pill In Ibiza,"EDM, Pop",Island Records,English,0.001748,1675,"Mike Posner, SeeB",Mike Posner
Walk the Moon,Shut Up & Dance,"Pop, Rock",RCA Records,English,0.001166,1080,Unknown,"Nicholas Petricca, Kevin Ray, Sean Waugaman, Eli Maiman, Ben Berger, Ryan McMahon"
Juice WRLD,Lucid Dreams (Forget Me),"Emo rap, SoundCloud rap","Grade A Productions, Interscope Records",English,0.001695,1608,Nick Mira,"Jarad Higgins, Danny Snodgrass, Nick Mira"
Jennifer Lopez & Pitbull,On The Floor,"Pop, Dance-pop, Techno, Latin, House",Island Records,English,0.001763,1654,RedOne,"Kinnda 'Kee' Hamid, AJ Junior, Teddy Sky, Bilal 'The Chef' Hajji, Pitbull, Gonzalo Hermosa, Ulises Hermosa"
Bruno Mars,That's What I Like,"Hip Hop Soul, New Jack Swing, R&B, Funk",Atlantic Records,English,0.001797,1682,"Shampoo Press & Curl, Stereotypes","Bruno Mars, Philip Lawrence, Christopher Brody Brown, James Fauntleroy, Johnathan Yip, Ray Romulus, Jeremy Reeves, Ray McCullough II"
Bruno Mars,Locked Out Of Heaven,"Reggae Rock, Pop Rock",Atlantic Records,English,0.003937,3829,"The Smeezingtons, Mark Ronson, Jeff Bhasker, Emile Haynie","Bruno Mars, Philip Lawrence, Ari Levine"
Bastille,Pompeii,"Indie Pop, Synth-pop",Virgin Records,English,0.001722,1649,"Mark Crew, Dan Smith",Dan Smith
James Arthur,Say You Won't Let Go,Pop,Columbia Records,English,0.003532,3445,Unknown,"James Arthur, Neil Ormandy, Steve Solomon"
Ariana Grande,7 Rings,"Pop, R&B",Republic Records,English,0.001728,1640,"Tommy Brown, Charles Anderson, Michael Foster","Ariana Grande, Victoria Monét, Tayla Parx, Njomza, Kaydence"
Clean Bandit & Jess Glynne,Rather Be,"Electronic, Dance",Warner Music Group,English,0.001561,1476,"Jack Patterson, Grace Chatto","Jack Patterson, Grace Chatto, Jimmy Napes, Nicole Marshall"
Katy Perry,Roar,"Power Pop, Arena Rock",Capitol Records,English,0.001328,1248,"Dr. Luke, Max Martin, Cirkut","Katy Perry, Bonnie McKee"
Ed Sheeran & Justin Bieber,I Don't Care,"Pop, Dancehall","Asylum, Atlantic Records, Def Jam Recordings",English,0.001385,1288,"Ed Sheeran, Fred Gibson, Shellback, Max Martin","Ed Sheeran, Justin Bieber, Fred Gibson, Shellback, Max Martin"
Rihanna & Calvin Harris,This Is What You Came For,"Electropop, Dance-pop","Columbia Records, Westbury Road",English,0.001681,1599,"Calvin Harris, Kuk Harrell","Taylor Swift, Calvin Harris"
Rihanna & Drake,Work,"Dancehall, Reggae-Pop, R&B","Westbury Road, Roc Nation","Jamaican Patois, Bajan Creole",0.001826,1698,"Matthew 'Boi-1da' Samuels, Kuk Harrell, Noah '40' Shebib","Rihanna, Drake, PartyNextDoor, Monte Moir, Rupert 'Sevn' Thomas, Allen Ritter"
Bruno Mars,Grenade,"Pop, Power Pop",Elektra Records,English,0.004003,3881,"The Smeezingtons (Bruno Mars, Phillip Lawrence, Ari Levine), additional production by Brody Brown","Bruno Mars, Phillip Lawrence, Ari Levine, Brody Brown, Claude Kelly, Andrew Wyatt"
Lorde,Royals,"Art Pop, Electropop, Hip Hop, R&B, Indie Pop",Universal Music Group,English,0.00148,1399,Joel Little,"Lorde, Joel Little"
Fetty Wap,Trap Queen,"Hip hop, R&B","300 Entertainment, Atlantic Records",English,0.00159,1513,Tony Fadd,"Willie Maxwell II, Tony Fadd"
Bebe Rexha & Florida Georgia Line,Meant To Be,"Country, Pop",Warner Bros. Records,English,0.014662999999999999,14483,"Willshire, David Garcia","Bebe Rexha, Tyler Hubbard, Josh Miller, David Garcia"
Jonas Brothers,Sucker,Pop,Republic Records,English,0.001523,1444,"Ryan Tedder, Frank Dukes","Ryan Tedder, Louis Bell, Mustafa Ahmed, Homer Steinweiss"
Katy Perry,Firework,Dance-pop,Capitol Records,English,0.001701,1627,"Stargate, Sandy Vee","Katy Perry, Ester Dean"
Taio Cruz,Dynamite,"Pop, Dance-pop, Electropop","Island, 4th & B'way, Mercury",English,0.00158,1477,"Benny Blanco, Dr. Luke","Taio Cruz, Max Martin, Bonnie McKee, Benny Blanco, Dr. Luke"
Rihanna & Eminem,Love The Way You Lie,"Hip-Hop, Pop",Interscope Records,English,0.001594,1516,Alex da Kid,"Skylar Grey, Eminem, Alex da Kid"
P!nk & Nate Ruess,Just Give Me A Reason,Pop,RCA Records,English,0.010169,10043,Jeff Bhasker,"Pink, Nate Ruess, Jeff Bhasker"
Ed Sheeran,Photograph,"Pop, Acoustic",Asylum Records,English,0.001717,1642,Jeff Bhasker,"Ed Sheeran, Johnny McDaid"
"Clean Bandit, Sean Paul & Anne-Marie",Rockabye,"Dancehall, Pop",Atlantic Records,English,0.001416,1338,"Jack Patterson, Mark Ralph","Ammar Malik, Ina Wroldsen, Steve Mac"
will.i.am & Britney Spears,Scream & Shout,"Dance Pop, Club",Interscope Records,English,0.001571,1481,"Jef Martens (Lazy Jay), will.i.am","will.i.am, Jef Martens, Tulisa, Jean Baptiste"
Maroon 5,Sugar,"Disco, Funk-Pop, Soul","Interscope Records, 222 Records",English,0.003585,3471,"Ammo, Cirkut","Mike Posner, Adam Levine, Dr. Luke, Jacob Kasher Hindlin"
Charlie Puth,Attention,"Pop, Funk, Soft-Soul",Atlantic Records,English,0.001558,1482,Charlie Puth,"Charlie Puth, Jacob Kasher"
5 Seconds of Summer,Youngblood,"Pop, Pop rock",Capitol Records,English,0.001724,1635,"Andrew Watt, Louis Bell","Calum Hood, Ali Tamposi, Andrew Watt, Ashton Irwin, Luke Hemmings"
Drake,Hotline Bling,"R&B, Pop, Dancehall","Cash Money Records, Republic Records, Young Money Entertainment",English,0.006153,6005,"40, Nineteen85, Maneesh Bidaye, Kanye West, Jordan Ullman","Aubrey Graham, Paul Jefferies, Maneesh Bidaye, Kanye West, Jordan Ullman"
Imagine Dragons,Demons,"Pop, Rock",Interscope Records,English,0.001701,1619,Alex da Kid,"Alex da Kid, Ben McKee, Dan Reynolds, Wayne Sermon, Josh Mosser"
Rihanna,Only Girl (In The World),"Dance-pop, Eurodance","Def Jam Recordings, SRP Records",English,0.001729,1649,"Stargate, Sandy Vee",Crystal Johnson
Desiigner,Panda,Hip hop,GOOD Music,English,0.001583,1519,Menace,Desiigner
Magic!,Rude,"Reggae, Reggae fusion",Sony Music Entertainment,English,0.001573,1478,"Adam Messinger, Nasri Atweh","Adam Messinger, Nasri Atweh, Mark Pellizzer, Ben Spivak, Alex Tanas"
Mr Probz,Waves,"Pop, R&B",Left Lane Productions,English,0.001204,1127,"Mr. Probz, Robin Schulz",Mr. Probz
Jason Derulo,Want To Want Me,"Pop, R&B",Warner Music Group,English,0.004087,3989,Ian Kirkpatrick,"Jason Derulo, Sam Martin, Lindy Robbins, Mitch Allan"
Bruno Mars,24K Magic,"Funk, Disco, Contemporary R&B",Atlantic Records,English,0.001702,1618,"Shampoo Press & Curl, The Stereotypes","Bruno Mars, Philip Lawrence, Christopher Brody Brown"
Sam Smith & Normani,Dancing With A Stranger,"Pop, R&B",Capitol Records,English,0.001246,1172,"Stargate, Jimmy Napes","Sam Smith, Normani"
Ke$ha,Tik-Toc,Unknown,Unknown,Unknown,0.001038,977,Unknown,Unknown
Flo-Rida,Good Feeling,"Hip Hop, Dance-Pop",Atlantic Records,English,0.001809,1701,"Dr. Luke, Cirkut","Flo Rida, Dr. Luke, Cirkut, Breyan Isaac, Arash Pournouri, Avicii, Etta James, Leroy Kirkland, Pearl Woods"
Post Malone & Ty Dolla $ign,Psycho,"Hip Hop, R&B, Trap",Republic Records,English,0.00154,1458,"Louis Bell, Post Malone","Post Malone, Ty Dolla $ign, Louis Bell"
DNCE,Cake By The Ocean,"Pop, R&B, Dance, Disco-Funk",Republic Records,English,0.001556,1470,Mattman & Robin,"Joe Jonas, Justin Tranter, Mattias Larsson, Robin Fredriksson"
"Major Lazer, Justin Bieber & MO",Cold Water,"Electronic, Dance",Mad Decent,English,0.00132,1227,Major Lazer,"Thomas Pentz, Justin Bieber, Karen Marie Ørsted, Jamie Scott, Philip Meckseper, Benjamin Levin, Henry Allen, Ed Sheeran"
Shawn Mendes,Treat You Better,Pop,Island Records,English,0.001403,1323,"Teddy Geiger, Dan Romer, Daylight","Shawn Mendes, Teddy Geiger, Scott Harris"
Calvin Harris & Dua Lipa,One Kiss,"Dance-pop, Diva house, Tropical house","Columbia Records, Sony Music",English,0.001425,1341,Calvin Harris,"Calvin Harris, Dua Lipa, Jessie Reyez"
Fifth Harmony & Ty Dolla $ign,Work From Home,"R&B, Trap, Tropical House",Epic Records,English,0.003614,3499,"Ammo, DallasK","Daniel Bedingfield, Jude Demorest, Eskeerdo, Brian Lee, Ty Dolla $ign, Ammo, DallasK"
Khalid,Talk,"R&B, Electronic","Right Hand Music Group, RCA Records",English,0.001338,1266,Disclosure,Khalid
"Zedd, Maren Morris & Grey",The Middle,"Pop, Dance",Interscope Records,English,0.001702,1608,"Zedd, Grey, The Monsters and the Strangerz","Sarah Aarons, Zedd, Grey, The Monsters and the Strangerz"
Justin Timberlake,Mirrors,"Progressive Soul, R&B",RCA Records,English,0.001791,1681,"Justin Timberlake, Timothy 'Timbaland' Mosley, Jerome 'J-Roc' Harmon","Justin Timberlake, Timothy 'Timbaland' Mosley, Jerome 'J-Roc' Harmon, James Fauntleroy"
Rihanna & Mikky Ekko,Stay,"Pop, R&B","Def Jam Recordings, SRP Records",English,0.015919,15746,"Mikky Ekko, Justin Parker","Mikky Ekko, Justin Parker"
Shakira & Freshly Ground,Waka Waka (This Time For Africa),"Pop, World",Epic Records,"English, Spanish",0.001651,1575,John Hill,"Shakira, John Hill"
Skrillex & Diplo,Where Are U Now,"Electronic Dance Music, Dancehall","Owsla, Mad Decent",English,0.001382,1299,"Skrillex, Diplo","Justin Bieber, Skrillex, Diplo"
Ariana Grande,"Thank U, Next","Pop, R&B",Republic Records,English,0.00167,1588,"Tommy Brown, Charles Anderson, Michael Foster","Ariana Grande, Tayla Parx, Victoria Monét"
